year,genre,total
2013,Action,226
2013,Adventure,171
2013,Animation & Modeling,4
2013,Audio Production,3
2013,Casual,86
2013,Design & Illustration,3
2013,Early Access,4
2013,Education,4
2013,Free To Play,23
2013,Game Development,3
2013,Gore,1
2013,Indie,258
2013,Massively Multiplayer,15
2013,RPG,89
2013,Racing,19
2013,Simulation,72
2013,Software Training,4
2013,Sports,14
2013,Strategy,115
2013,Utilities,7
2013,Video Production,2
2013,Web Publishing,3
2014,Action,631
2014,Adventure,578
2014,Animation & Modeling,8
2014,Audio Production,6
2014,Casual,413
2014,Design & Illustration,14
2014,Early Access,45
2014,Education,8
2014,Free To Play,62
2014,Indie,877
2014,Massively Multiplayer,22
2014,Nudity,1
2014,Photo Editing,3
2014,RPG,273
2014,Racing,59
2014,Simulation,230
2014,Software Training,7
2014,Sports,48
2014,Strategy,335
2014,Utilities,22
2014,Video Production,6
2014,Violent,1
2014,Web Publishing,2
2015,Action,1089
2015,Adventure,983
2015,Animation & Modeling,14
2015,Audio Production,7
2015,Casual,759
2015,Design & Illustration,20
2015,Early Access,136
2015,Education,15
2015,Free To Play,150
2015,Game Development,7
2015,Gore,1
2015,Indie,1836
2015,Massively Multiplayer,52
2015,Photo Editing,8
2015,RPG,480
2015,Racing,86
2015,Simulation,440
2015,Software Training,27
2015,Sports,93
2015,Strategy,563
2015,Utilities,27
2015,Video Production,9
2015,Violent,2
2015,Web Publishing,8
2016,Accounting,4
2016,Action,1813
2016,Adventure,1529
2016,Animation & Modeling,28
2016,Audio Production,19
2016,Casual,1562
2016,Design & Illustration,42
2016,Early Access,351
2016,Education,31
2016,Free To Play,271
2016,Game Development,7
2016,Gore,32
2016,Indie,2937
2016,Massively Multiplayer,94
2016,Nudity,11
2016,Photo Editing,10
2016,RPG,586
2016,Racing,139
2016,Sexual Content,9
2016,Simulation,798
2016,Software Training,15
2016,Sports,225
2016,Strategy,761
2016,Utilities,55
2016,Video Production,18
2016,Violent,50
2016,Web Publishing,6
2017,Accounting,6
2017,Action,2633
2017,Adventure,2288
2017,Animation & Modeling,47
2017,Audio Production,25
2017,Battle Royale,150
2017,Casual,2386
2017,Design & Illustration,68
2017,Early Access,548
2017,Education,57
2017,Free To Play,400
2017,Game Development,4
2017,Gore,135
2017,Indie,4240
2017,Massively Multiplayer,156
2017,Movie,1
2017,Nudity,51
2017,Photo Editing,18
2017,RPG,834
2017,Racing,209
2017,Sexual Content,42
2017,Simulation,1129
2017,Software Training,18
2017,Sports,324
2017,Strategy,1096
2017,Utilities,82
2017,Video Production,45
2017,Violent,224
2017,Web Publishing,11
2018,Accounting,5
2018,Action,3149
2018,Adventure,2778
2018,Animation & Modeling,44
2018,Audio Production,21
2018,Casual,3341
2018,Design & Illustration,48
2018,Early Access,691
2018,Education,41
2018,Free To Play,552
2018,Game Development,15
2018,Gore,94
2018,Indie,5736
2018,Massively Multiplayer,195
2018,Nudity,33
2018,Photo Editing,10
2018,RPG,1169
2018,Racing,275
2018,Sexual Content,39
2018,Simulation,1493
2018,Software Training,17
2018,Sports,394
2018,Strategy,1350
2018,Utilities,86
2018,Video Production,32
2018,Violent,149
2018,Web Publishing,9
2019,Accounting,2
2019,Action,2600
2019,Adventure,2456
2019,Animation & Modeling,28
2019,Audio Production,17
2019,Casual,2556
2019,Design & Illustration,34
2019,Early Access,614
2019,Education,38
2019,Free To Play,504
2019,Game Development,24
2019,Gore,1
2019,Indie,4674
2019,Massively Multiplayer,165
2019,Photo Editing,9
2019,RPG,1128
2019,Racing,232
2019,Simulation,1239
2019,Software Training,15
2019,Sports,280
2019,Strategy,1184
2019,Utilities,87
2019,Video Production,17
2019,Violent,1
2019,Web Publishing,11
2020,360 Video,1
2020,Accounting,3
2020,Action,5460
2020,Adventure,3408
2020,Animation & Modeling,42
2020,Audio Production,19
2020,Casual,9192
2020,Design & Illustration,52
2020,Documentary,1
