year,genre,count
2013,Action,15
2013,Adventure,8
2013,Simulation,9
2013,Story Rich,9
2013,Strategy,8
2014,2D,7
2014,Action,22
2014,Adventure,7
2014,Rpg,11
2014,Shooter,7
2015,2D,12
2015,Action,22
2015,Adventure,11
2015,Rpg,20
2015,Simulation,18
2016,2D,21
2016,Action,41
2016,Adventure,28
2016,Rpg,20
2016,Simulation,25
2017,Action,49
2017,Adventure,50
2017,Battle Royale,50
2017,Simulation,51
2017,Strategy,38
2018,Action,38
2018,Adventure,28
2018,Rpg,21
2018,Simulation,42
2018,Strategy,25
2019,Action,31
2019,Adventure,31
2019,Rpg,27
2019,Simulation,40
2019,Strategy,29
2020,Action,128
2020,Adventure,78
2020,Rpg,96
2020,Simulation,104
2020,Strategy,76
2021,Action,74
2021,Adventure,60
2021,Rpg,48
2021,Simulation,70
2021,Subscription,80
2022,Action,71
2022,Adventure,53
2022,Esports,70
2022,Rpg,49
2022,Simulation,78
2023,Action,135
2023,Adventure,98
2023,Rpg,88
2023,Sandbox,90
2023,Simulation,136
2024,Action,122
2024,Adventure,103
2024,Early Access,74
2024,Rpg,81
2024,Simulation,169
2025,Action,80
2025,Adventure,73
2025,Early Access,61
2025,Rpg,64
2025,Simulation,141
