Unnamed: 0,Unnamed: 1,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Unnamed: 11
1,,Among Us,5248221660,198742620,447013,10310,339414,116890,4369,1000.0,
1,,Call of Duty: Warzone,5248221660,198742620,447013,10310,339414,116890,4369,200.0,
2,,Animal Crossing: New Horizons,1849939380,27312900,243798,4371,40027,41497,612,500.0,
3,,Just Chatting,1332264900,25773360,51231,1331,52386,21537,450,-3.19,
4,,Counter-Strike,1020074880,22590780,214157,1455,42963,18253,401,0.32,
5,,Grand Theft Auto V,765032040,8324580,51763,617,9798,13125,102,5.85,
6,,Fortnite,646417380,46454460,16161,1111,70624,9344,673,0.0,
7,,DOOM Eternal,611352600,19926000,115516,4192,48472,13705,447,-1092.17,
8,,Path of Exile,577986960,11163060,80407,2902,8819,12566,240,7.26,
9,,Nioh 2,548803080,8854500,102892,664,9746,12287,198,-20.98,
10,,Teamfight Tactics,481539000,9833580,30099,871,24233,10279,207,4.92,
11,,Dota 2,412647960,6438180,-72194,314,5795,6006,104,-3.14,
12,,Minecraft,344696880,22282140,97009,1537,54103,6131,426,-1.95,
13,,Music,298345620,6926220,99228,843,15575,6221,128,7.27,
14,,RimWorld,292837200,1791300,10532,24,1810,6414,38,53.76,
15,,Half-Life Alyx,286228320,3604140,303617,2398,11018,6420,80,76.91,
16,,Hearthstone,284134440,2379840,27242,94,4628,4591,41,-4.92,
17,,Destiny 2,280959480,15087780,66708,1329,14838,5876,304,2.5,
18,,Mount & Blade II: Bannerlord,251542200,2149680,236514,1371,7122,5641,48,96.29,
19,,Ori and the Will of the Wisps,249578340,8525820,65669,1501,18072,5598,191,-930.82,
20,,FIFA 20,197903640,6984240,109849,1105,20585,2903,128,-7.26,
21,,Slots,150530940,548040,16047,21,660,2528,6,16.62,
22,,Tom Clancy's The Division 2,143830140,6571740,3157,416,3424,3098,133,5.36,
23,,Last Oasis,125885640,1425660,59245,752,3091,2823,31,88.3,
24,,League of Legends,117839760,30805680,9365,1137,41063,-8663,454,-7.35,
25,,Rocket League,110535060,4963380,36804,633,16751,1675,80,-0.63,
26,,Age of Empires II: Definitive Edition,105309000,392160,35479,54,704,2177,7,38.42,
27,,Twitch Stream Aid,100054260,76920,168180,92,336,2244,1,1300.76,
28,,MLB The Show 20,98600640,2344500,7547,390,9305,2210,52,-559.33,
29,,Chess,97724220,465060,20095,66,682,2097,9,46.66,
30,,Dead by Daylight,86153160,5952960,-6478,375,9505,959,88,-1.1,
31,,F1 2019,85017000,946380,179524,103,4249,1898,21,49.84,
32,,Poker,79557120,1177920,5688,141,1640,1399,21,-1.0,
33,,Stilt Fella,78010440,166500,33417,5,702,1719,4,-729.34,
34,,The Seven Deadly Sins: Grand Cross,66898200,1909020,6314,118,1800,1499,43,16.26,
35,,Diablo III,66767340,4630020,11303,898,7151,1440,100,-3.17,
36,,Black Mesa,62688720,1114260,26734,78,3020,1393,25,16.94,
37,,Pokémon Mystery Dungeon: Rescue Team DX,59205120,2346660,16501,417,4351,1328,52,9.97,
38,,iRacing,56515920,1041480,41447,106,1475,1185,18,9.44,
39,,NBA 2K20,53198340,6193920,12312,436,16268,929,118,-1.2,
40,,Art,53187780,4363620,9029,238,8163,735,70,-0.85,
41,,Motorsport Manager,52082880,114240,31245,14,253,1167,3,351.25,
42,,Resident Evil 3,49768800,1466820,40225,586,15760,1116,32,-22.3,
43,,FINAL FANTASY VII REMAKE,45763560,916500,40146,495,8952,1026,20,-29.89,
44,,Curse of the Dead Gods,45597300,391680,26247,59,1348,1020,8,-121.96,
45,,Predator: Hunting Grounds,43030800,684600,48802,348,3753,965,15,62.86,
46,,ASMR,40564260,560760,10722,-1,119,641,8,2.14,
47,,UNO,37007160,508920,19121,37,4483,801,11,16.19,
48,,eFootball PES 2020,35767080,598620,12271,37,1425,791,12,20.78,
49,,"Yes, Your Grace",34838460,221580,35552,37,792,781,4,-86.04,
50,,Fitness & Health,34746060,518880,22634,113,1903,689,10,-6.14,
