Unnamed: 0,Unnamed: 1,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Unnamed: 11
1,,Baldur's Gate 3,2694014160,75772020,439479,5063,82949,60431,1700,100.0,
2,,Escape from Tarkov,1708998840,34750920,96551,4010,25202,38335,779,60.0,
3,,Dark and Darker,1270265760,15014580,133185,1232,16088,28494,336,120.0,
4,,The Texas Chain Saw Massacre,961940760,32760180,202615,4961,117014,21578,735,-109.12,
5,,Fortnite (Creative Mode),894110220,2019720,59597,114,1326,20056,45,200.0,
6,,VALORANT,711924180,-11224860,648010,-133,-18067,15970,-251,150.0,
7,,Path of Exile,623310060,10889880,-266470,2217,8286,13982,244,-24.05,
8,,Armored Core VI: Fires of Rubicon,454530840,12792960,144900,3240,25292,10196,287,80.0,
9,,World of Warcraft,392196180,1941780,86741,578,3208,8797,43,80.0,
10,,Rocket League,326033520,-1351020,116343,-60,-12533,7314,-31,70.0,
11,,Palia,275124480,13874880,37754,992,28852,6172,311,-238.38,
12,,Fortnite,273655980,16816260,44458,2562,-6735,6139,377,0.44,
13,,Minecraft,269712480,-6114240,171772,-64,-47809,6050,-137,3.6,
14,,Madden NFL 24,266859000,30715140,50714,3192,84421,5986,689,5.31,
15,,Genshin Impact,243250500,18874920,308170,3971,17763,5456,424,0.39,
16,,MARVEL SNAP,242215200,790020,233327,190,2753,5434,18,85.5,
17,,Tom Clancy's Rainbow Six Siege X,223053420,4947000,37424,473,21534,5003,111,2.91,
18,,Slots,218601120,607920,8977,25,699,4903,13,21.24,
19,,Starfield,215526420,253380,551752,1662,2427,4835,6,762.22,
20,,Eternal Return,175721460,2155680,14788,-43,1860,3942,48,10.88,
21,,Counter-Strike,165101400,-2059140,158766,18,2217,3704,-46,4.93,
22,,Overwatch 2,162668280,7861080,30656,2096,14579,3649,176,0.51,
23,,"The Casino: Roulette, Video Poker, Slot Machines, Craps, Baccarat",159222480,347460,48892,74,380,3572,7,397.73,
24,,Phasmophobia,154164420,9017100,24833,1795,21893,3458,202,2.8,
25,,Wayfinder,135645240,2773500,58608,437,5869,3042,62,-147.09,
26,,Hearthstone,122419140,941580,-10010,175,1409,2746,21,0.68,
27,,Chess,121603020,270000,105647,13,135,2728,6,28.67,
28,,Call of Duty: Warzone,119641140,7653480,129644,1365,-2053,2683,172,-1.03,
29,,Halo Infinite,113396700,15540,-1017,13,13,2544,0,17.29,
30,,Old School RuneScape,113284920,-157080,9421,-29,21,2541,-3,19.18,
31,,Guild Wars 2,108746040,735780,38129,368,837,2439,17,27.22,
32,,Project F,107086080,281160,131206,385,2016,2402,6,-4272.8,
33,,Destiny 2,99893820,2472420,318004,1373,4186,2241,56,2.76,
34,,World of Tanks,93415860,486720,-4520,40,776,2095,11,8.13,
35,,Blasphemous II,88486380,1778220,48786,428,3820,1984,39,49.76,
36,,I'm Only Sleeping,85323660,-278160,11428,-16,-397,1914,-6,11.07,
37,,No Man's Sky,81558120,920040,26806,171,1732,1830,20,26.01,
38,,Waven,76190340,2231160,22369,310,4311,1709,50,-408.74,
39,,Lost Ark,74662620,989520,-18976,8,95,1675,22,3.26,
40,,Virtual Casino,73870140,-138420,4887,-7,163,1657,-3,50.99,
41,,Immortals of Aveum,69879600,548760,218690,210,1876,1567,12,-640.74,
42,,Atlas Fallen,61591980,1547760,69631,308,4133,1381,34,-6.71,
43,,Trackmania,61290780,-502440,20429,-89,-2685,1375,-11,57.29,
44,,Mortal Kombat 1,60266460,638040,36263,325,2940,1352,15,28.64,
45,,PAYDAY 3,58263780,402420,59994,125,2833,1307,9,134.45,
46,,GUILTY GEAR -STRIVE-,56245800,671220,197309,130,1873,1261,15,30.45,
47,,Parasocial,56217900,288960,45802,78,2051,1261,6,194.55,
48,,Red Dead Redemption II,54663840,968040,18129,28,69,1227,21,2.32,
49,,Poker Online: Texas Holdem,52886700,652560,11637,60,381,1186,15,75.4,
50,,RuneScape,51109140,607980,11953,170,525,1147,14,18.81,
