Unnamed: 0,Unnamed: 1,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Unnamed: 11
1,,ELDEN RING,17077675200,752978160,640356,22499,794725,32496,1432,300.0,
2,,Overwatch 2,14142335100,481574400,624572,12633,851501,26910,917,150.0,
3,,Lost Ark,13907794260,301556820,1002550,9620,237902,26464,573,-10.52,
4,,VALORANT,12536789460,371045400,149741,4985,507602,23855,706,200.0,
5,,FIFA 23,8795209680,159021660,487770,5980,330616,16735,302,100.0,
6,,Just Chatting,7100373060,-194541480,-477916,-2851,929533,13510,-370,10.48,
7,,Call of Duty: Modern Warfare II,6461490060,626381700,759147,22803,1004990,12294,1191,10.32,
8,,Slots,6354787080,-6898560,57720,148,8647,12092,-13,112.0,
9,,Virtual Casino,5323279020,18104580,141285,131,11603,10130,34,200.0,
10,,Fall Guys,4372948380,141437700,97748,5477,741309,8320,269,50.0,
11,,FIFA 22,3133370940,181878660,270446,779,558435,5962,346,-19.14,
12,,Pokémon Scarlet/Violet,3070779900,99675000,315303,10530,96738,5843,189,30.81,
13,,Pokémon Legends: Arceus,2821601100,101389500,478482,7435,111057,5369,192,6.03,
14,,God of War Ragnarök,2655304260,125786760,480226,11581,169918,5052,239,19.81,
15,,World of Warcraft,2598804420,-194610720,365800,3874,-8863,4945,-370,12.29,
16,,I'm Only Sleeping,2406044940,49338180,-10428,68,29327,4578,94,-3.52,
17,,Yu-Gi-Oh! Master Duel,2362793940,74013600,105469,1292,127589,4495,140,26.28,
18,,Sports,2353049700,9625200,-896084,168,107758,4477,18,12.38,
19,,Teamfight Tactics,2319506520,-8796000,942,-252,38163,4414,-17,15.13,
20,,The Cycle: Frontier,2004310620,51476100,-989,646,63157,3814,98,-5.12,
21,,Albion Online,1994316780,-1455000,6324,56,1447,3794,-3,69.17,
22,,MultiVersus,1882403040,85237680,184877,3689,372203,3581,162,15.83,
23,,"Pools, Hot Tubs, and Beaches",1753532280,7081500,-6971,-73,10943,3337,13,35.02,
24,,NBA 2K23,1696490160,141417060,352152,7180,193378,3228,269,12.0,
25,,Dying Light 2: Stay Human,1685919840,93917100,136304,8331,183949,3208,178,-576.7,
26,,Trackmania,1685427360,13175400,186003,333,17746,3207,25,127.92,
27,,Tower of Fantasy,1633973400,59025540,271613,6253,84181,3109,113,-5.59,
28,,Cult of the Lamb,1631799780,55363440,157382,2919,101400,3104,105,29.47,
29,,Vampire Survivors,1600382040,26228760,140383,340,81523,3045,49,61.02,
30,,The Quarry,1460260980,24544020,354599,1637,60328,2778,46,59.5,
31,,World of Tanks,1448559420,-16696980,14901,-37,20864,2756,-32,20.53,
32,,Red Dead Redemption II,1401556620,-1129500,60362,-139,102115,2667,-2,8.03,
33,,Dark and Darker,1325200320,12337020,151562,1052,28736,2521,23,107.42,
34,,Pokémon Community Game,1321642980,12186900,319855,81,7666,2514,23,80.29,
35,,Project Zomboid,1289618100,43281420,31055,96,67134,2454,83,-26.52,
36,,Politics,1252678620,5575860,92844,31,17747,2384,11,67.83,
37,,Mario Kart 8 Deluxe,1237496760,26679720,25425,1007,41093,2355,51,-9.43,
38,,God of War,1214862840,49540680,56627,1376,165897,2312,94,7.34,
39,,V Rising,1175393400,31277520,129334,1212,50711,2237,59,-2037.9,
40,,Raft,1059894480,14989140,133830,458,38844,2017,28,16.23,
41,,Splatoon 3,1014872880,51278580,102747,2915,50889,1931,97,12.64,
42,,Anime World,1006152660,20838960,55052,184,10315,1914,40,-21.21,
43,,Stray,936013800,48872040,287683,7662,205270,1781,92,19.15,
44,,"Animals, Aquariums, and Zoos",903865380,89158980,-2064,98,25101,1720,169,-13.45,
45,,F1 22,889090380,37882560,112832,869,63821,1691,72,23.47,
46,,The Simpsons,855895020,2131440,16261,26,1054,1628,4,401.56,
47,,Horizon Forbidden West,830215380,71752740,97305,3927,93526,1580,136,-77.45,
48,,VRChat,822437640,-2834040,70808,78,25279,1565,-6,13.2,
49,,Total War: WARHAMMER III,819646920,14724840,48260,942,15248,1559,28,24.95,
50,,Stumble Guys,814123380,53289120,16279,413,323544,1550,101,5.88,
